ID	Problem	Complexity
2145	Parallel line	131 / 230
2146	Bisector	102 / 176
2147	The area of ​​a polygon	801 / 1010
2148	Convex polygon	290 / 376
2149	Point in polygon	153 / 314
2150	Triomino	54 / 56
2151	Au reservoir	3 / 6
2152	The Flight Way	10 / 11
2153	Probablisctic OR	19 / 21
2154	Party	10 / 16
2155	Strong-Willed Victory	38 / 65
2156	Segment Sum	9 / 10
2157	Sum	281 / 383
2158	Distance Between Lletters	205 / 249
2159	String potential	10 / 19
2160	Fruits	1 / 4
2161	Football club	10 / 22
2162	Palindrome	3138 / 3823
2163	Divide on three!	2951 / 3469
2164	Julius Caesar Cyfer	3291 / 3576
2165	Extra spaces	1818 / 2047
2166	Anagrams	3278 / 3586
2167	Фишки	101 / 219
2168	Square punch	967 / 1031
2169	Permutations	918 / 1019
2170	Repair in Hanoi	308 / 398
2171	Find a set of patterns 1	336 / 527
2172	Find a set of patterns 2	173 / 254
2173	Кубики	68 / 120
2174	Yandex	8 / 15
2175	Palindromes	63 / 146
2176	Trees Made to Order	17 / 18
2177	Function Run Fun	528 / 654
2178	Binary Multiplication	19 / 36
2179	Palindromic Subsequence	15 / 42
2180	Ролевая игра	48 / 62
2181	Колесо Фортуны	17 / 29
2182	Форматирование текста	7 / 16
2183	Космические исследования	3 / 5
2184	Шахматная доска	127 / 149
2185	Чемпионат по стрельбе	36 / 46
2186	Делители	11 / 20
2187	Дом у дороги	1 / 6
2188	Delaunay triangulation	2 / 2
2189	Replica Placement	0 / 4
2190	Цепочка слов	41 / 50
2191	Диалоги по UCM	36 / 45
2192	Ничего и не терялось	10 / 15
2193	Строки	17 / 21
2194	Число-палиндром	246 / 282
2195	Проверка орфографии	39 / 127
2196	Преобразователь строк	115 / 130
2197	Антипалиндром	186 / 290
2198	Строчечки	33 / 38
2199	Циклическое k-расширение	7 / 16
2200	Слова	44 / 65
2201	UFO	22 / 54
2202	Programming Technology	0 / 19
2203	Roads	12 / 18
2204	Weak k-connectivity	128 / 154
2205	Лифт	191 / 283
2206	Minibuses	619 / 804
2207	Electric train 	309 / 350
2208	Такси	123 / 139
2209	Лифты	58 / 118
2210	Саморасшифровавшаяся шифровка	27 / 47
2211	Наибольшая пилообразная подпоследовательность	47 / 90
2212	Тарифы	1 / 8
2213	Трехмерные ладьи	12 / 27
2214	Function 9	976 / 1430
2215	Иностранные языки	22 / 35
2217	Attack of aliens	17 / 25
2218	Coins	3224 / 3475
2219	Snow White and n gnomes	44 / 45
2220	Playing with graph	6 / 17
2221	About love...	18 / 90
2222	Matches for children are not toys!	7 / 10
2223	Maze	20 / 28
2224	Number	8 / 16
2225	Beautiful numbers	6 / 15
2226	Zoo	13 / 23
2227	Necklace of Beads	53 / 58
2228	Color	61 / 69
2231	The Vanishing	4 / 6
2234	"На сковородке" у политеха	27 / 31
2235	Геодезическая практика студентов	52 / 75
2236	Играем в "балду"!	10 / 35
2237	Маринкина копилка	45 / 80
2238	Who will get the "avtomat"?	2659 / 2941
2239	Маша и конфеты	253 / 317
2240	Васька за границей	83 / 92
2241	Булочки с маком	146 / 203
2242	Родословное дерево	31 / 60
2243	Две коллекции	324 / 350
2244	Не догонишь!	9 / 18
2245	Super numbers	197 / 258
2246	Superstring	61 / 93
2248	Super minimum	480 / 721
2249	Super sum	74 / 115
2250	Super calculator	25 / 32
2251	Супермногоугольники	1 / 8
2254	Rice Hub	36 / 77
2256	Танцующие слоны	0 / 1
2259	Bug2	2 / 13
2260	Commuting Functions	3 / 4
2261	Defense of a Kingdom	225 / 247
2262	Explicit Formula	405 / 441
2263	Frames	1 / 6
2264	Gadgets Factory	0 / 4
2265	Horrible Truth	18 / 19
2266	Ideal Contest	4 / 11
2267	Journey	205 / 275
2268	Kitchen Robot	27 / 53
2269	Connected components	1425 / 1493
2270	Find a cycle	801 / 1110
2271	Точки сочленения 2	269 / 338
2274	Компоненты реберной двусвязности	81 / 190
2275	Автомобиль Джона	0 / 2
2277	Governor	0 / 4
2280	Job or joy	0 / 0
2281	To Add or to Multiply	4 / 5
2282	Afﬁne Mess	1 / 2
2283	Ancient Messages	5 / 5
2284	Chips Challenge	1 / 2
2285	Coffee Central	3 / 6
2286	Machine Works	1 / 3
2287	Magic Sticks	15 / 17
2288	Mining Your Own Business	16 / 18
2289	Mummy Madness	11 / 11
2290	Pyramids	3 / 6
2291	Trash Removal	22 / 23
2292	Fibonacci number	302 / 505
2293	March 8	91 / 111
2294	Convex Hull	20 / 101
2295	How to Make Money	373 / 403
2296	The thread	23 / 36
2297	Biorhythms	30 / 34
2298	Marbles	79 / 112
2299	Theodore Roosevelt	133 / 211
2300	Internal point	55 / 99
2301	A Needle in the Haystack	182 / 243
2302	Nuts for nuts	176 / 208
2303	Phone List	633 / 828
2304	Horrible Queries	360 / 448
2305	Окна (Easy)	24 / 31
2306	Steps	31 / 37
2307	The sum	508 / 744
2308	Stars	150 / 187
2309	Windows	75 / 103
2310	И снова сумма...	270 / 373
2311	Матрица	0 / 15
2312	Height of the Tree	163 / 263
2313	Number of elements	310 / 364
2314	Second Maximum	379 / 493
2315	Перестановки (Easy)	59 / 61
2316	Print leaves	295 / 380
2317	LCA offline (Easy)	280 / 295
2318	LCA Problem Revisited (Easy)	94 / 114
2319	Прямоугольники online (Easy)	11 / 12
2320	Рефрен (Easy)	22 / 59
2321	Sorting	5548 / 5971
2322	Columns	1012 / 1072
2323	Numbers from digits	1166 / 1255
2324	Scatter	354 / 415
2325	Two numbers	927 / 984
2326	Socks	140 / 165
2327	Counting sort	1345 / 1733
2328	Degree numbers	239 / 371
2329	Bell	883 / 1002
2330	Ленточка 2	5 / 17
2331	Баланс скобок	89 / 117
2332	Бессмыслица	25 / 46
2333	Ленточка 3	0 / 17
2334	Mad tea Party	12 / 15
2335	Thief of clay	62 / 64
2336	Большое число	32 / 58
2337	Ох, уж эти скобки	9 / 30
2338	Разбиение числа	10 / 34
2339	НОК	11 / 51
2340	Сеть	31 / 56
2341	Перемещение дамки	41 / 60
2342	Лучший из худших vs. худший из лучших	58 / 80
2343	Простой путь	317 / 342
2344	Перекраска забора	4 / 17
2345	Ромбы	13 / 30
2346	Запретный коридор	47 / 61
2347	Уход за магическими существами	5 / 9
2348	Нумерология	18 / 65
2349	Гонки	2 / 4
2350	Зельеделие	3 / 9
2351	Dijkstra	1113 / 1281
2352	Little Bishops	32 / 38
2353	Tug of War	18 / 45
2354	Общая подстрока	13 / 38
2355	Nenokku	153 / 237
2356	Substring	73 / 151
2357	Cake	3 / 9
2358	Шахматы	54 / 64
2359	Враг моего врага — мой друг!	18 / 23
2360	Нумерация дробей	23 / 31
2361	Ямы	11 / 12
2362	Who is longer?	13 / 19
2363	Fibonacci subsequence	187 / 229
2364	Часы	80 / 108
2365	Конфетки	10 / 18
2366	Прыгать!	6 / 9
2367	Восстановление перестановки	1 / 1
2368	Лесопилка	1 / 1
2369	Битва за мёд	1 / 2
2370	Automated Telephone Exchange	1427 / 1504
2371	Black Square	121 / 179
2372	Cube Coloring	6 / 8
2373	Dice	17 / 25
2374	Electriﬁcation	2 / 6
2375	Flat	889 / 1004
2376	Galaxy Interconnection	7 / 7
2377	High security	17 / 29
2378	Immediate Delivery	7 / 12
2379	John`s Inversions	82 / 107
2380	Kids Like Cakes	4 / 13
2381	Two times two	220 / 248
2382	Grafix Mask	167 / 212
2383	Electrical Wires	223 / 266
2384	Sorting Game	161 / 187
2385	The number of permutations	1765 / 1852
2386	The next permutation	260 / 400
2387	Permutation by number	168 / 253
2388	Number of permutation	303 / 375
2389	The following combination	86 / 104
2390	Partitions into summands	198 / 245
2391	Cost of call	757 / 1232
2392	Interesting Sum	1090 / 1576
2393	Point and a rectangle	473 / 603
2394	Number	71 / 226
2395	Semiperfect number	89 / 225
2396	The number of English	219 / 306
2397	Windows	63 / 174
2398	Circle and segment	31 / 161
2399	Book	809 / 1211
2400	Triangles	2150 / 2615
2401	Breadth First Search	1804 / 2054
2402	(p, q) - horse	151 / 193
2403	Strong connectivity	419 / 461
2404	Games on graph	10 / 22
2405	Жестокая задача	109 / 162
2406	Странная игра	0 / 2
2407	Японский компьютер	7 / 10
2408	Pawn Game	25 / 73
2409	Без мата не обошлось...	1 / 7
2410	Игра в слова	3 / 6
2411	Сумма игр	2 / 9
2412	Игра с клавиатурой	0 / 8
2413	A-B	17 / 29
2414	Sum of squares	66 / 206
2415	Disc number	152 / 202
2416	Strange number	21 / 23
2417	Multiplication	24 / 34
2418	Number	3 / 5
2419	Order	3 / 4
2420	Serrated sequence	20 / 36
2421	Fibonacci numbers	356 / 560
2422	How many ways?	87 / 111
2423	Divisibility by 4	64 / 102
2424	The desired quantity	96 / 116
2425	System Fibonacci	91 / 106
2426	The smallest unimaginable	97 / 141
2427	Система мартингейл	2 / 2
2428	Торговля	2 / 6
2429	Минимальная перестановка	8 / 9
2430	Путешествие	0 / 1
2431	Ход игры	2 / 2
2432	Универсальная линейка	3 / 6
2433	Чудо-дерево	6 / 9
2434	Ожерелье	9 / 12
2435	Абелевы группы	0 / 3
2436	Ожерелье 2	3 / 3
2437	Минимальная сумма цифр	1 / 8
2438	Уравнение в перестановках	1 / 2
2439	Булевы экстремумы	0 / 4
2440	n-th Largest Value	664 / 714
2441	Equal Sum Partitions	42 / 43
2442	Balls	25 / 25
2443	Running Median	81 / 97
2444	Игра в фишки	80 / 109
2445	Adjacent Bit Counts	17 / 18
2446	Convex Hull of Lattice Points	43 / 49
2447	Interior Points of Lattice Polygons	16 / 17
2448	Theta Puzzle	19 / 22
2449	Fair Division	16 / 16
2450	Free Goodies	18 / 21
2451	High Score	21 / 25
2452	Hill Driving	7 / 15
2453	Rankings	14 / 15
2454	Risk	12 / 14
2455	Selling Land	12 / 12
2456	Stock Prices	14 / 17
2457	Telephone Network	0 / 4
2458	Wormly	15 / 16
2459	Юбилей Винни-Пуха	320 / 409
2460	Суффиксный путь	9 / 14
2461	Цензура	27 / 44
2462	Неточное совпадение	128 / 192
2463	Period of a string	263 / 353
2464	Жужжащий профессор	50 / 99
2465	Наименьший циклический сдвиг	57 / 100
2466	Вирусы	121 / 166
2467	KINA is not abbreviation	7 / 10
2468	Фабрика палиндромов	15 / 26
2469	Рефрен	34 / 167
2470	Checking for an undirected graph	2438 / 2718
2471	From adjacency matrix to the list of edges	1982 / 2103
2472	Operations on graph	968 / 1143
2474	Поиск гамильтонова цикла в условиях т-мы Хватала	31 / 84
2475	Индекс	0 / 6
2476	Друзья и враги	49 / 74
2477	Странный турнир	0 / 1
2478	Грани планарного графа	8 / 13
2479	Parentheses Balance	1831 / 2393
2480	Гамильтонов цикл в полном графе	18 / 94
2481	Linear Device	0 / 2
2482	Чернослив	11 / 30
2483	Вырезание слова	2 / 6
2484	Sequence Formatting	15 / 22
2485	Две кучки	18 / 26
2486	Две инструкции	1 / 2
2487	Ревнивая королева	0 / 1
2488	Суммы по три	4 / 5
2489	Задача про делители	0 / 5
2490	Факториал, степени и абелевы группы	1 / 2
2491	День изобилия	2 / 7
2492	Полигон испытаний	5 / 10
2493	Шагающий робот	8 / 16
2494	Отчёт 2	0 / 0
2495	Конкуренция	3 / 5
2496	String concatenation	923 / 967
2497	Tariffs	113 / 174
2498	K-cортировка	119 / 136
2499	Рельсы	6 / 12
2500	Угадай число	4 / 8
2501	Круговая диаграмма	402 / 424
2502	Приготовление десертов	26 / 29
2503	Восстановление строки	12 / 60
2504	Убей свинью	7 / 10
2505	Чаепитие	20 / 27
2506	Универсальная розетка	363 / 475
2507	Border	832 / 969
2508	Загранпаспорт	42 / 46
2509	The post office	220 / 266
2510	Сортировка очередями	97 / 112
2516	Вирусы	3 / 6
2522	Разрезание торта	0 / 1
2523	Fibonacci Strings	376 / 605
2524	Fibonacci String	412 / 503
2525	Fibonacci String	107 / 142
2526	Concatenation	5 / 7
2527	BFS (Binary Fibonacci String)	41 / 52
2528	Diophantus of Alexandria	61 / 70
2529	Tudoku	25 / 26
2530	Traveling Queen Problem	0 / 5
2531	Mine Map	12 / 14
2532	Knights of the Round Table	1 / 5
2533	Honeymoon Hike	16 / 24
2534	Relocation	15 / 18
2535	Gauß in Elementary School	62 / 76
2536	Kick-Tipp	15 / 15
2537	Elephant show	38 / 42
2538	Encoding binary numbers	112 / 116
2539	Chorus	4 / 5
2540	Length and frequency of sentences	78 / 85
2541	Another word sorting	99 / 132
2542	Form guide	8 / 9
2543	Cracking Tree Codes	1 / 3
2544	uHunt	4 / 13
2545	Лосенок	29 / 39
2546	Вилки и ножи	32 / 41
2547	Белочка	15 / 22
2548	Симметричная поляна	6 / 11
2549	Papa Carlo	287 / 344
2550	Not so trivial problem	0 / 2
2551	Sort by sum of digits	0 / 2
2552	Roman numerals	0 / 3
2553	Image and Shadow	0 / 0
2554	Magic Square	2 / 5
2555	GLONASS	0 / 0
2556	Space competition	0 / 0
2557	Color game	0 / 1
2558	Serial Numbers	0 / 0
2559	Processor`s game	0 / 1
2560	Secret — MAX	1 / 11
2561	Safety Grade	12 / 24
2562	Search by template	7 / 15
2563	Roots Intervals	7 / 12
2564	Palindromic Dates	2 / 2
2565	Post Offices	0 / 0
2566	Choosing a camera	5 / 14
2567	Road Planner	0 / 2
2568	Term Generator	0 / 1
2569	Painting	1 / 7
2570	Age of Retirement	7 / 21
2571	Bridges	3 / 16
2573	Dining Room	0 / 3
2576	G. tourist	4 / 18
2579	Jams	11 / 19
2581	Lamps of the Mind	1 / 7
2585	Profit	210 / 252
2586	Dividing the Gold	10 / 14
2587	Traffic Lights	1 / 4
2588	Symmetry	110 / 142
2589	Cleaning the Dishes	240 / 267
2590	Space Exploration	517 / 568
2591	Crop Circles	114 / 121
2592	Rectangles intersection	97 / 131
2593	Сalculation	208 / 237
2594	Figurе	330 / 415
2595	Wall	437 / 632
2596	TC100	90 / 116
2599	Generic Cow Protests	0 / 0
2605	Hexagonal Pasture Network	16 / 16
2606	Minimum and maximum	5920 / 6316
2607	Divisibility by 11	2449 / 2614
2608	Amount of information	310 / 368
2609	Almost primes	294 / 374
2610	Large numbers	269 / 294
2611	Replace digit	2061 / 2759
2612	Разрезание на квадраты	807 / 1027
2613	Maximum sum	340 / 434
2614	GNCHE-1	513 / 549
2615	Archiving	101 / 148
2616	Lost card	2527 / 2890
2617	Birthdays	1367 / 1451
2618	The next number	1135 / 2193
2619	Lucky ticket 2	397 / 517
2620	Lemon Tale	24 / 93
2621	Kings Tour	185 / 234
2622	Reliable Nets	129 / 160
2623	Bisectors	1 / 1
2624	Warp Speed	0 / 1
2625	High-Precision Number	94 / 130
2626	Configurations	0 / 11
2627	Two Longest Paths	11 / 12
2628	A Minimum Land Price	56 / 60
2629	Hacker`s Crackdown	14 / 15
2630	Shuffle	0 / 2
2631	Maximum GCD	308 / 381
2632	Ахтунг!	8 / 13
2633	Cookies	5 / 50
2634	Покраска забора	16 / 17
2635	Detonating cord	268 / 317
2636	Лямбда-растение	39 / 42
2637	Священное число	43 / 51
2638	Запасы на зиму	148 / 178
2639	Суммы	9 / 14
2640	Поезд	15 / 19
2641	Paper Route	7 / 10
2642	Octagons	0 / 3
2643	Party Location	3 / 6
2644	Numbersrebmun	67 / 86
2645	Class Schedule	5 / 7
2646	Tetris Alphabet	18 / 18
2647	Network Saboteur	14 / 22
2648	Burned Calendar	0 / 1
2649	Longest Ordered Subsequence	86 / 160
2650	Falling cards	0 / 1
2651	Very Simple Problem	33 / 37
2652	Rock Skipping	0 / 3
2653	Decimal	1 / 1
2654	Просто добавь запятые	0 / 14
2655	Пожар в лесу	1 / 1
2656	Queen of angle	119 / 202
2657	Queen of angle 2	64 / 88
2658	Chocolate	44 / 79
2659	Children matches are not toys! - 2	19 / 34
2660	Terminator	19 / 39
2661	Price labels	1834 / 1966
2662	Minimum method	1296 / 1672
2663	Bubble sort	2544 / 2883
2664	Библиотечный метод	972 / 1392
2665	Экспедиция	156 / 195
2666	Half	4156 / 4463
2667	Snake	2552 / 2799
2668	Spiral	450 / 1112
2669	Rotation	2854 / 3147
2670	Координаты соседей	1569 / 1813
2671	Сапер	1187 / 1366
2672	Movement	18 / 123
2673	Giant numbers	103 / 189
2674	Reduce a fraction	960 / 1355
2675	The Agency	3 / 3
2676	Chain of Fools	15 / 15
2677	Condorcet Winners	14 / 15
2678	Everyone out of the Pool	14 / 14
2679	The Banzhaf Buzz-Off	14 / 14
2680	GPS I Love You	15 / 16
2681	Have You Driven a Fjord Lately?	0 / 5
2682	Mobile	15 / 18
2683	Wally World	15 / 17
2684	Sorting	58 / 113
2685	Sequence	46 / 60
2687	SumOfPowers	5 / 29
2688	Platforms	65 / 100
2689	Текстовый редактор	14 / 21
2690	Два сосуда	12 / 21
2691	Проходной балл	131 / 167
2692	Поймать Фантомаса	2 / 3
2693	Двоичная против отрицательной двоичной	33 / 35
2694	Детерминант	25 / 29
2695	Двоичное деление	154 / 195
2696	Genealogical Tree	72 / 79
2697	Staircase	160 / 272
2698	Отдых Мальвины	12 / 20
2699	Покраска	1 / 3
2700	Множители	156 / 224
2701	Homework	109 / 137
2702	The aliens	60 / 94
2703	The perfect party	141 / 182
2704	The Roman numeral system	457 / 566
2705	The union the sequences	148 / 218
2706	Splitting into factors	44 / 80
2707	Danger of explosion	408 / 494
2708	Construction	186 / 242
2709	Palindrome	148 / 236
2710	Pascal`s triangle	210 / 253
2711	Peter and the number	55 / 106
2712	The problem of Queens	284 / 345
2713	The Fibonacci sequence	883 / 1329
2714	Signboard	307 / 361
2715	Flying Saucers	152 / 201
2716	For five rubles	167 / 236
2717	Babel	148 / 202
2718	Repetition	38 / 88
2719	Goat in the garden	262 / 398
2720	Goat in the Garden - 2	133 / 192
2721	Goat in the Garden - 3`	123 / 162
2722	Goat in the Garden - 4`	38 / 66
2723	Goat in the Garden - 5	18 / 35
2724	Sequence Folding	90 / 92
2725	Co-prime	40 / 80
2726	Wimbledon	22 / 23
2727	Manhattan Sort	32 / 46
2728	Cipher	11 / 12
2729	Big Division	33 / 47
2730	Calculator	43 / 49
2731	Crank	48 / 50
2732	Triangle	456 / 551
2733	The sum of powers of two	2166 / 2281
2734	Crazy Bits	5 / 7
2735	Maximum forest cover digraph	1 / 9
2736	ClosedCup	5 / 5
2737	Леденящая игра	0 / 10
2738	Прыжки	5 / 9
2739	Язык	0 / 3
2740	"Penguin"	0 / 5
2741	WoW	0 / 3
2746	Шпионское сообщение	29 / 66
2751	Iterated Difference	52 / 52
2752	Shape Number	20 / 26
2753	Stock Prices	37 / 41
2754	Contour Tracing	17 / 21
2755	Pills	35 / 35
2756	Robot Navigation	15 / 21
2757	User Names	22 / 23
2758	Citizenship Application	14 / 18
2759	Wealthy Family	13 / 18
2760	Supply Mission	12 / 14
2761	A Simple Problem	28 / 59
2762	Bacon`s Cipher	41 / 51
2763	Короля - в угол	126 / 167
2764	Annealing peaceful queens!	116 / 185
2765	Суффиксный пулемёт	6 / 22
2766	Length of S(n)	39 / 53
2767	Square palindrome	11 / 24
2768	Layout of the city	11 / 15
2769	The Special Number	19 / 38
2770	Matrioshkas	32 / 43
2771	Like 3	8 / 15
2772	DDR3	0 / 14
2773	Tourist	0 / 11
2774	Dividers	9 / 21
2775	Railway	2 / 4
2776	Конспирация	6 / 17
2777	Дома	57 / 65
2778	k-сортировка	29 / 47
2779	Огни светофора	32 / 53
2780	Зарплата	2 / 26
2781	Траволатор	4 / 16
2782	Triangle	99 / 128
2783	Где я?	3 / 15
2784	Бункеры	0 / 23
2785	Игра	1 / 2
2786	Часовые	0 / 1
2787	Камни	1 / 2
2792	Rectangle	204 / 247
2793	Новогодние скидки	81 / 139
2794	Divisors	68 / 173
2795	Метро	45 / 88
2796	The extra digit	359 / 556
2797	Контакты	609 / 742
2798	Последовательность	145 / 209
2799	Гном в замке	32 / 60
2800	Ориентация графа	7 / 15
2801	Вырезание уголков	250 / 303
2802	Bitset	693 / 887
2803	МаркЕрованные кубики	646 / 694
2804	Квадратные числа	734 / 859
2805	Две кучки раз...	243 / 274
2806	Числа	748 / 1154
2807	Cubes - 3	1399 / 1731
2808	Оставшееся число	104 / 212
2809	Сундук Билли Бонса	114 / 138
2810	Разбиение	38 / 64
2811	Стирание чисел	277 / 321
2812	Уголок	288 / 326
2813	Binary Stirling Numbers	40 / 120
2814	Fast Exponentiation	844 / 898
2815	Муравей и дерево	32 / 76
2816	Simple game	131 / 177
2817	Binary Numbers	521 / 609
2818	Марсианские факториалы	127 / 169
2819	Странный калькулятор	37 / 68
2820	Knight Moves	538 / 602
2821	Checkpoint	9 / 18
2822	Recover the Sequence	55 / 74
2823	Squished Status	18 / 22
2824	Road Removal	227 / 246
2826	Guess	551 / 682
2827	"БерНефть и сыновья"	24 / 38
2828	Polynomial	20 / 22
2829	Многоугольник	2 / 3
2830	"Не будет жизни вам пока…"	11 / 24
2831	HTML	10 / 40
2832	B-stock	175 / 225
2833	Спички – детям?	38 / 63
2834	Круги	8 / 18
2835	Б-станция	3 / 5
2845	Aaa	1 / 4
2846	Bachelor pursuing	5 / 6
2847	Concatenation of credits	5 / 6
2848	DeviantArt	0 / 5
2849	Exam	10 / 12
2850	Fate to hate	11 / 15
2851	Genealogic tree	3 / 5
2852	Happy Birthday	3 / 4
2853	I love Ira	5 / 12
2854	Justice	9 / 13
2855	Knife to me	6 / 6
2856	Lie to me	4 / 5
2857	MySpace	3 / 4
2858	Now	14 / 22
2859	Monad	10 / 15
2860	Sum of integers on the interval	7416 / 9190
2861	Sum of odd numbers	3477 / 5077
2862	Number of divisors	3281 / 3458
2863	Odd divisors	3683 / 4027
2864	Function tabulation	2748 / 2938
2865	Кривая дракона High	1 / 4
2866	Кривая дракона Junior	3 / 4
2867	K-цифровое число High	3 / 10
2868	K-цифровое число Junior	14 / 29
2869	Хромой король High	4 / 4
2870	Хромой король Junior	8 / 10
2871	Гиперкуб High	4 / 4
2872	Гиперкуб Junior	5 / 5
2873	Ферзи High	4 / 4
2874	Ферзи Junior	7 / 15
2875	Changing on a Segment (High)	270 / 329
2876	Изменение на отрезке Junior	103 / 147
2877	СуперНим High	3 / 3
2878	СуперНим Junior	5 / 12
2879	K-стороннее домино	3 / 10
2880	Различные попарные суммы	5 / 16
2881	Сервера	6 / 9
2882	Word Periods	2 / 3
2883	Arithmetic Encoding	2 / 8
2887	PreQueL	2 / 2
2888	Sigma-function on a segment	110 / 213
2889	Autotourism	42 / 49
2890	Perfect Powers	4 / 9
2891	Spell Checker	51 / 63
2892	Sum of values	173 / 283
2893	Про спрайт	81 / 125
2894	Suffix array	169 / 235
2895	Arctic Foxes	8 / 11
2896	La cucaracha	2 / 20
2897	Арифметическая прогрессия	4 / 5
2898	Мирные кони	4 / 4
2899	Четыре точки	4 / 5
2900	Римские числа	9 / 22
2901	Камни	6 / 6
2902	Две строки	2 / 4
2903	Parking	109 / 131
2904	Rook Attack	208 / 233
2905	Light Switching	315 / 369
2906	Can you answer these queries - 1	278 / 417
2907	Can you answer these queries - 3	282 / 319
2908	SumThem All	102 / 144
2909	Multiples of 3	220 / 281
2910	ABCDEF	58 / 77
2911	Maximum Sum	320 / 368
2912	Glass Beads	51 / 56
2915	XOR pairs	3 / 5
2918	Перекладываем камешки	20 / 30
2919	Это левая куча?	8 / 12
2920	Высота левого дерева	23 / 24
2921	Правый путь левого дерева	17 / 22
2922	Union of rectangles 2	25 / 28
2923	Tree	335 / 456
2924	Дерево в отрезке	4 / 7
2925	Строки в дереве	11 / 60
2926	Combined rectangles	26 / 32
2927	Sets Union	1510 / 1560
2928	Непрефиксные коды	2 / 3
2929	Дождик	2 / 3
2930	Квадрат числа из единиц	21 / 101
2931	Dima and a famous tourist	4 / 6
2932	Dima and strings	17 / 19
2933	Dima and computer game	23 / 27
2934	Dima and permutation	2 / 4
2935	Dima and percentages	2 / 3
2936	Dima & module	11 / 12
2937	Dima and machine of time	14 / 21
2938	Dima and machine of time	32 / 41
2939	Dima and array 1	233 / 346
2940	Dima and large array	372 / 453
2941	Dima and array	905 / 1082
2942	Dima and table	36 / 40
2943	Dima and table	31 / 33
2944	Полёт хомяка 3	0 / 0
2945	Интервалы	0 / 3
2946	Иерархия	0 / 2
2947	Двоичные произведения	3 / 4
2948	Упаковочная машина	3 / 5
2949	Добавление и удаление точек	3 / 6
2950	Сбалансированное дерево	2 / 6
2951	Count Offline	14 / 25
2952	Count Online	13 / 17
2953	Динамический Лес	50 / 75
2954	Самая дальняя	8 / 16
2955	Persistent Array	254 / 315
2956	Перестановки strike back	11 / 31
2957	Persistent List	24 / 73
2958	Проекция в R^3	1 / 7
2959	Прямоугольные запросы	9 / 16
2960	Точки в полуплоскости	8 / 13
2961	Жесть	6 / 29
2962	Подстроки со сдвигом	0 / 2
2963	Антитест	11 / 12
2964	Magnetic Cushions	182 / 236
2965	Distance betweeen the vertices	363 / 470
2966	Pink Floyd	59 / 119
2967	Unification Day	419 / 597
2968	Shortest Paths	225 / 301
2969	100 гусей	240 / 313
2970	Swap	86 / 111
2971	Трафарет	66 / 84
2972	Бипростые числа	95 / 128
2973	Теория шести рукопожатий	47 / 53
2974	Мишень	36 / 48
2975	Сортировка кортежей	32 / 76
2976	Не отрывая карандаша от бумаги	12 / 18
2977	Хорватский кубик	13 / 16
2978	Квадрат	1 / 52
2982	Забавный конфуз	117 / 140
2983	Соревнование	8 / 20
2984	Абракадабра	23 / 40
2985	Циферблат	1 / 2
2986	Кубики	27 / 51
2987	Многоугольники	144 / 177
2988	Пути	0 / 6
2989	"ВТО"	40 / 86
2990	Вишня	0 / 7
2991	Алхимия	0 / 0
2992	Цепь	16 / 34
2993	Казино	0 / 0
2994	Система уравнений	0 / 0
2995	The extra digits	33 / 91
2996	Corruption	105 / 142
2997	Friday - 13	45 / 95
2998	Leaf in the cage	41 / 63
2999	Function-10	1675 / 1836
3002	Tournament	1216 / 1498
3003	Suitable pairs	67 / 125
3004	Queue	887 / 1185
3005	Салюты	26 / 51
3006	Пенальти	116 / 189
3007	Правильные доски	29 / 56
3008	Лифт	7 / 34
3009	Благозвучность	21 / 46
3010	Noisy neighbors	27 / 74
3011	No left turns	3 / 32
3012	Cards	0 / 4
3013	Magic Parenthesis	8 / 20
3014	Maze	2 / 2
3015	Camouflaged camp	0 / 1
3016	Ancient Manuscript	1 / 2
3017	Bus Trip	3 / 5
3018	Polygon	0 / 1
3019	Typesetting	1 / 3
3020	The Seven Percent Solution	227 / 247
3021	Slink	1 / 2
3022	Persistent Bits	93 / 106
3023	Here We Go(relians) Again	20 / 21
3024	Electronic Document Security	67 / 70
3025	Guard	0 / 1
3026	Rock Skipping	21 / 22
3027	Военный парад	59 / 68
3028	Семейная эстафета	7 / 29
3029	Цифровая строка	0 / 8
3030	Micro and Tree	3 / 6
3031	Однобуквенный палиндром	9 / 25
3032	Лазер	6 / 20
3033	Диверсия	0 / 32
3035	Триомино	121 / 175
3036	Мутация	67 / 97
3037	База данных	40 / 69
3038	Автомагистраль	10 / 37
3039	Раскрашивание	68 / 97
3040	Буфер обмена	106 / 123
3041	Перекрёсток	36 / 77
3042	Выпуклая оболочка	8 / 18
3043	Class Statistics	166 / 173
3044	Avoiding a disaster	27 / 31
3045	Roll Call	31 / 31
3046	Difficult Routes	17 / 19
3047	Real Phobia	24 / 30
3048	Insidious Branding	2 / 8
3049	Help-or-else	1 / 2
3050	Pahom on Water	23 / 27
3051	Detour Buster	0 / 2
3052	Oil Skimming	40 / 50
3053	Numbers Game	1 / 5
3056	Захват королевства	8 / 14
3058	Bishops	107 / 127
3059	Minimizing maximizer	69 / 85
3060	Atlantis	14 / 18
3061	Inner Vertices	90 / 116
3062	Острова	89 / 106
3063	Camelot	5 / 10
3064	Alphabet Soup	28 / 31
3065	Coin Collecting	36 / 37
3066	Cybercrime Donut Investigation	34 / 35
3067	Distributing Ballot Boxes	35 / 39
