ID	Problem
1661	Aladdin's knapsack
1663	Bracket sequences
1670	The average distance
1671	Candy
1672	Olympiad
1681	Sum of digits
1682	Spiderman
1683	Tourist Routes
1684	Mobile tariff "Cents"
1685	Lands of Antarctica
1686	Fire
1687	Digits
1688	Inheritance
1689	Durak game
1696	The magic number 23
1697	How to become a winner
1698	Vasya and his friends
1701	Square Counting
1702	A Greener World
1704	Clever turtle
1705	A bit sequence of the Arnold
1706	Pinocchio
1707	Building with Blocks
1709	Continuous Drawing
1710	Counting Quadrilaterals
1713	Genetic Code
1716	Getting Chorded
1717	OULIPO
1721	Matches
1722	Sum it up
1723	Colored Balls
1726	Customs duties-1
1727	Customs duties-2
1728	Customs duties-3
1729	A + B Problem
1738	Filling with domino
1739	A + B
1741	Blockade
1742	Apple from the tree...
1743	Three Cities
1744	Dots and lines
1745	The mafia in the city
1746	Rook in the maze
1747	Space Travel
1748	Transport nodes
1749	Orange mood
1750	The product of graphs
1751	Permutation Representation
1753	Lowest Bit
1756	Optimal Programs
1758	A + B Problem
1759	Cute table
1761	Cute patterns 1
1762	Numbers
1765	Three sequences
1766	Cell Phone Network
1767	Diamonds joker
1768	Schedule
1770	The monkey and the coconuts
1774	Common Subsequence
1776	Rails
1778	The Bank Cards
1779	Weighted Dice
1781	Assignment problem
1782	The sum of divisors
1784	K-permutation
1785	Patterns
1788	Inverse permutation
1789	Degree of a permutation
1790	Restore the permutation
1792	Password Search
1796	Diameter of the graph
1801	Parenthesis
1802	Ropes
1803	Chain Code
1804	Task
1805	Page Count
1806	Soccer
1807	Railroad
1808	Post Office
1809	Aronson
1810	Judges` Time Calculation
1811	Mad Scientist
1812	Voting
1813	Queen Collisions
1814	Mirror, Mirror on the Wall
1815	Top This
1816	Quick Search
1817	Image Compression
1818	Egyptian Fractions
1819	Lawn mower
1820	Periodic points
1821	Comparing Answers
1822	Fake scoreboard
1823	Palindromic DNA
1824	Jamping monkey
1825	Sensor network
1826	Assembly line
1827	Locks and keys
1828	3-sided dice
1829	Tangent to the sphere
1830	The distance between the segments
1831	Cones
1832	Sniper
1833	Convex hull of the 3D - 1
1834	Direct
1835	The mutual arrangement of lines
1836	Convex hull of the 3D - 2
1837	Convex hull of the 3D - 3
1838	The distance from the point to the segment
1839	Cylinder
1840	Cut the watermelon
1841	DNA Robot
1842	Triangle
1843	Coins
1844	Equation
1845	U-turn bits
1846	AVL-trees
1847	Polynomial
1848	Bifurcation
1849	Equation 2
1850	U-turn bits 2
1851	Duel 
1852	Product
1853	Sphere
1854	Triangular King
1855	Tent
1856	Championship on fungi Sports
1857	Vinnimobil
1858	Rhyme scheme
1859	Miners
1860	Present for Piglet
1861	Dice
1862	Five-star challenge
1863	Strong tiling
1864	Hamilton Pipeline
1865	Hexagon and rhombic domino
1866	Cute patterns 2
1867	Cards
1868	Function
1869	Paths on the board
1870	Testing shuffle machines
1871	Squirrel and bamboo
1872	Snowmen
1875	The longest path
1881	Connect and Disconnect
1884	CHM
1889	Battlefield
1890	Breaking a table of records
1891	Chine
1892	Construction of warehouse
1893	Force the hero
1894	Caravans
1905	Minimum degree of prime
1906	Anniversary
1907	Trade
1908	Grid
1909	Drawing
1910	Empire
1911	Reform
1912	Constellation
1913	Presents
1914	ICPC
1915	Numbers
1916	English
1917	Diamond
1918	Puzzle
1919	Automatic Input Verifier
1920	Friendly Points
1921	Expanding Lake
1922	Octahedron And Dominoes
1923	Tiny Puzzle
1924	Circular Island
1925	Traffic Jam
1926	Number of Permutations
1927	Perspective
1928	Enjoy Arithmetic Progressions
1929	Copletely Non-zero Determinant
1930	Fast Typing
1931	XYZX 2009
1932	Greatest Greatest Commom Divisor
1933	Colored Wizards
1934	Graph of operations
1936	Flights
1937	Fire safety
1941	Parent
1943	Bridges
1945	Articulation Points
1947	Condensation of the graph
1948	Topological Sort
1949	Cake
1950	School algebra
1951	IP-address
1952	Contr-operation
1953	The results of the Olympiad
1954	Mosaic
1955	Calendar
1956	The young hacker
1957	Silver medal
1958	Divided it?
1959	Deletion
1961	Forest dwellers
1963	Theater
1964	What is left?
1965	Rank
1966	A big plus
1968	Balls
1979	Railroad
1980	Eustace-Alex
1981	Mushroom
1982	Highways
1985	Primes Masha
1986	Masha and the palindrome
1987	The Next Permutation
1988	The largest increasing subsequence
1990	Domino 2
1991	Maximum flow
1992	Dividing the graph
1993	Weighing
1994	Brackets
1997	Approximation of progression
1998	Torah
1999	Palindrome
2000	Minefield
2001	The survey instrument
2003	Cellular Telecommunications
2004	Routing
2005	Weighing 2
2006	Plus and xor
2009	Points
2012	Sequence
2014	Lucky Number
2016	Resale of tickets
2017	Determinant of the matrix
2018	Minimal d-rate
2019	Fibonacci sequence
2021	Tree
2023	Distance to Polygon
2024	A triangle of maximal area
2025	Complex game XOR
2026	LOGO
2028	y = sin x
2029	Ring
2030	y = cos x
2031	Fibonacci sequence
2032	y =| sin(2x)|
2033	Minimum number of bills
2034	WERTYU
2035	Crypt Kicker
2036	Age
2037	Crypt Kicker II
2040	Common permutation
2041	The day of the competitors
2042	Monthly and quarterly
2043	Quarter
2044	Month
2045	Four segments
2046	y =| cos(2x)|
2047	Almost Union-Find
2048	Broken Keyboard (a.k.a. Beiju Text)
2049	Cake Cutting
2050	Dynamic Inversion
2051	Easy Problem from Rujia Liu?
2052	Fast Matrix Operations
2053	Girls`Celebration
2054	Happy Painting!
2055	I Can Guess the Data Structure!
2056	Jewel Magic
2057	K Smallest Sums
2058	Rujia Liu loves Wario Land!
2059	Lake with lilies
2060	Tale about an apple
2061	Young Programmers
2062	Lilavati
2063	Vasya`s arithmetic
2064	Vasya`s arithmetic 2
2065	Vasya and prime numbers
2066	Vasyas triangles
2067	Gemini
2068	Smart dog
2069	Vasyas tickets
2070	Strange ice hockey tournament
2074	The cyclic suffixes
2076	Towers
2079	Number of inversions
2097	Three digit numbers
2098	Invertor
2099	Two arrays
2102	Square
2103	Knapsack
2106	Amount
2107	Horatio Riddle
2108	Reversal sequence
2113	Amusement Park
2115	Garden of the Permian
2129	Polar angle of a point
2130	The angle between the vectors
2131	Vector length
2132	Point on a line
2133	Point on a ray
2134	Point on a segment
2135	The position of points outside the line
2136	The distance from a point to direct
2137	Distance from the point to the beam
2138	The distance from the point to the segment
2139	The intersection of two segments
2140	The distance between the segments
2142	Equation of the line II
2143	The intersection of two lines
2144	The distance from a point to direct
2145	Parallel line
2146	Bisector
2148	Convex polygon
2149	Point in polygon
2150	Triomino
2151	Au reservoir
2152	The Flight Way
2153	Probablisctic OR
2154	Party
2155	Strong-Willed Victory
2156	Segment Sum
2157	Sum
2158	Distance Between Lletters
2159	String potential
2160	Fruits
2162	Palindrome
2163	Divide on three!
2164	Julius Caesar Cyfer
2165	Extra spaces
2166	Anagrams
2169	Permutations
2171	Find a set of patterns 1
2172	Find a set of patterns 2
2174	Yandex
2175	Palindromes
2176	Trees Made to Order
2177	Function Run Fun
2178	Binary Multiplication
2179	Palindromic Subsequence
2188	Delaunay triangulation
2189	Replica Placement
2201	UFO
2202	Programming Technology
2203	Roads
2204	Weak k-connectivity
2206	Minibuses
2207	Electric train 
2214	Function 9
2217	Attack of aliens
2219	Snow White and n gnomes
2220	Playing with graph
2221	About love...
2222	Matches for children are not toys!
2224	Number
2226	Zoo
2227	Necklace of Beads
2228	Color
2231	The Vanishing
2238	Who will get the "avtomat"?
2245	Super numbers
2246	Superstring
2249	Super sum
2250	Super calculator
2259	Bug2
2260	Commuting Functions
2261	Defense of a Kingdom
2262	Explicit Formula
2263	Frames
2264	Gadgets Factory
2265	Horrible Truth
2266	Ideal Contest
2267	Journey
2268	Kitchen Robot
2269	Connected components
2270	Find a cycle
2277	Governor
2280	Job or joy
2281	To Add or to Multiply
2282	Af&#64257;ne Mess
2283	Ancient Messages
2284	Chips Challenge
2285	Coffee Central
2286	Machine Works
2287	Magic Sticks
2288	Mining Your Own Business
2289	Mummy Madness
2290	Pyramids
2291	Trash Removal
2292	Fibonacci number
2293	March 8
2294	Convex Hull
2295	How to Make Money
2296	The thread
2297	Biorhythms
2298	Marbles
2299	Theodore Roosevelt
2300	Internal point
2301	A Needle in the Haystack
2302	Nuts for nuts
2303	Phone List
2304	Horrible Queries
2306	Steps
2307	The sum
2308	Stars
2309	Windows
2312	Height of the Tree
2313	Number of elements
2314	Second Maximum
2316	Print leaves
2317	LCA offline (Easy)
2318	LCA Problem Revisited (Easy)
2321	Sorting
2322	Columns
2323	Numbers from digits
2324	Scatter
2325	Two numbers
2326	Socks
2327	Counting sort
2334	Mad tea Party
2335	Thief of clay
2351	Dijkstra
2352	Little Bishops
2353	Tug of War
2356	Substring
2357	Cake
2362	Who is longer?
2363	Fibonacci subsequence
2371	Black Square
2372	Cube Coloring
2373	Dice
2374	Electri&#64257;cation
2375	Flat
2376	Galaxy Interconnection
2377	High security
2378	Immediate Delivery
2379	John`s Inversions
2380	Kids Like Cakes
2381	Two times two
2382	Grafix Mask
2383	Electrical Wires
2384	Sorting Game
2385	The number of permutations
2386	The next permutation
2388	Number of permutation
2389	The following combination
2390	Partitions into summands
2391	Cost of call
2392	Interesting Sum
2393	Point and a rectangle
2394	Number
2395	Semiperfect number
2396	The number of English
2397	Windows
2398	Circle and segment
2399	Book
2400	Triangles
2401	Breadth First Search
2402	(p, q) - horse
2403	Strong connectivity
2404	Games on graph
2408	Pawn Game
2413	A-B
2415	Disc number
2416	Strange number
2417	Multiplication
2419	Order
2420	Serrated sequence
2421	Fibonacci numbers
2422	How many ways?
2423	Divisibility by 4
2424	The desired quantity
2425	System Fibonacci
2426	The smallest unimaginable
2440	n-th Largest Value
2441	Equal Sum Partitions
2442	Balls
2443	Running Median
2445	Adjacent Bit Counts
2446	Convex Hull of Lattice Points
2447	Interior Points of Lattice Polygons
2448	Theta Puzzle
2449	Fair Division
2450	Free Goodies
2451	High Score
2452	Hill Driving
2453	Rankings
2454	Risk
2455	Selling Land
2456	Stock Prices
2457	Telephone Network
2458	Wormly
2463	Period of a string
2467	KINA is not abbreviation
2470	Checking for an undirected graph
2471	From adjacency matrix to the list of edges
2472	Operations on graph
2479	Parentheses Balance
2481	Linear Device
2484	Sequence Formatting
2496	String concatenation
2507	Border
2509	The post office
2523	Fibonacci Strings
2524	Fibonacci String
2525	Fibonacci String
2526	Concatenation
2528	Diophantus of Alexandria
2530	Traveling Queen Problem
2531	Mine Map
2532	Knights of the Round Table
2533	Honeymoon Hike
2534	Relocation
2536	Kick-Tipp
2537	Elephant show
2538	Encoding binary numbers
2539	Chorus
2540	Length and frequency of sentences
2542	Form guide
2544	uHunt
2549	Papa Carlo
2550	Not so trivial problem
2551	Sort by sum of digits
2552	Roman numerals
2554	Magic Square
2556	Space competition
2557	Color game
2558	Serial Numbers
2559	Processor`s game
2561	Safety Grade
2562	Search by template
2563	Roots Intervals
2564	Palindromic Dates
2566	Choosing a camera
2568	Term Generator
2569	Painting
2570	Age of Retirement
2571	Bridges
2573	Dining Room
2576	G. tourist
2579	Jams
2581	Lamps of the Mind
2586	Dividing the Gold
2587	Traffic Lights
2588	Symmetry
2590	Space Exploration
2592	Rectangles intersection
2596	TC100
2599	Generic Cow Protests
2606	Minimum and maximum
2607	Divisibility by 11
2608	Amount of information
2609	Almost primes
2610	Large numbers
2613	Maximum sum
2614	GNCHE-1
2615	Archiving
2617	Birthdays
2619	Lucky ticket 2
2620	Lemon Tale
2621	Kings Tour
2622	Reliable Nets
2623	Bisectors
2624	Warp Speed
2625	High-Precision Number
2626	Configurations
2627	Two Longest Paths
2628	A Minimum Land Price
2629	Hacker`s Crackdown
2630	Shuffle
2631	Maximum GCD
2633	Cookies
2635	Detonating cord
2641	Paper Route
2642	Octagons
2643	Party Location
2644	Numbersrebmun
2645	Class Schedule
2646	Tetris Alphabet
2647	Network Saboteur
2648	Burned Calendar
2649	Longest Ordered Subsequence
2650	Falling cards
2651	Very Simple Problem
2652	Rock Skipping
2653	Decimal
2656	Queen of angle
2658	Chocolate
2659	Children matches are not toys! - 2
2660	Terminator
2661	Price labels
2662	Minimum method
2663	Bubble sort
2667	Snake
2669	Rotation
2673	Giant numbers
2674	Reduce a fraction
2675	The Agency
2677	Condorcet Winners
2678	Everyone out of the Pool
2679	The Banzhaf Buzz-Off
2680	GPS I Love You
2681	Have You Driven a Fjord Lately?
2682	Mobile
2683	Wally World
2685	Sequence
2687	SumOfPowers
2688	Platforms
2696	Genealogical Tree
2697	Staircase
2701	Homework
2703	The perfect party
2704	The Roman numeral system
2705	The union the sequences
2706	Splitting into factors
2707	Danger of explosion
2708	Construction
2710	Pascal`s triangle
2711	Peter and the number
2712	The problem of Queens
2713	The Fibonacci sequence
2714	Signboard
2715	Flying Saucers
2716	For five rubles
2717	Babel
2718	Repetition
2719	Goat in the garden
2720	Goat in the Garden - 2
2721	Goat in the Garden - 3`
2722	Goat in the Garden - 4`
2723	Goat in the Garden - 5
2724	Sequence Folding
2725	Co-prime
2726	Wimbledon
2727	Manhattan Sort
2728	Cipher
2729	Big Division
2731	Crank
2733	The sum of powers of two
2734	Crazy Bits
2735	Maximum forest cover digraph
2736	ClosedCup
2740	"Penguin"
2741	WoW
2751	Iterated Difference
2752	Shape Number
2753	Stock Prices
2754	Contour Tracing
2755	Pills
2756	Robot Navigation
2757	User Names
2758	Citizenship Application
2759	Wealthy Family
2760	Supply Mission
2761	A Simple Problem
2762	Bacon`s Cipher
2764	Annealing peaceful queens!
2766	Length of S(n)
2767	Square palindrome
2768	Layout of the city
2769	The Special Number
2770	Matrioshkas
2771	Like 3
2772	DDR3
2773	Tourist
2774	Dividers
2775	Railway
2782	Triangle
2792	Rectangle
2794	Divisors
2796	The extra digit
2802	Bitset
2807	Cubes - 3
2813	Binary Stirling Numbers
2814	Fast Exponentiation
2816	Simple game
2817	Binary Numbers
2820	Knight Moves
2821	Checkpoint
2822	Recover the Sequence
2823	Squished Status
2824	Road Removal
2826	Guess
2828	Polynomial
2831	HTML
2832	B-stock
2845	Aaa
2846	Bachelor pursuing
2847	Concatenation of credits
2848	DeviantArt
2849	Exam
2850	Fate to hate
2851	Genealogic tree
2852	Happy Birthday
2853	I love Ira
2854	Justice
2855	Knife to me
2856	Lie to me
2858	Now
2859	Monad
2860	Sum of integers on the interval
2861	Sum of odd numbers
2862	Number of divisors
2863	Odd divisors
2864	Function tabulation
2875	Changing on a Segment (High)
2882	Word Periods
2883	Arithmetic Encoding
2887	PreQueL
2888	Sigma-function on a segment
2889	Autotourism
2890	Perfect Powers
2891	Spell Checker
2892	Sum of values
2894	Suffix array
2895	Arctic Foxes
2896	La cucaracha
2903	Parking
2904	Rook Attack
2905	Light Switching
2906	Can you answer these queries - 1
2908	SumThem All
2909	Multiples of 3
2910	ABCDEF
2911	Maximum Sum
2912	Glass Beads
2915	XOR pairs
2922	Union of rectangles 2
2923	Tree
2926	Combined rectangles
2927	Sets Union
2931	Dima and a famous tourist
2932	Dima and strings
2933	Dima and computer game
2934	Dima and permutation
2935	Dima and percentages
2936	Dima & module
2937	Dima and machine of time
2938	Dima and machine of time
2939	Dima and array 1
2940	Dima and large array
2941	Dima and array
2942	Dima and table
2943	Dima and table
2951	Count Offline
2952	Count Online
2955	Persistent Array
2957	Persistent List
2964	Magnetic Cushions
2965	Distance betweeen the vertices
2966	Pink Floyd
2967	Unification Day
2968	Shortest Paths
2970	Swap
2995	The extra digits
2996	Corruption
2997	Friday - 13
2998	Leaf in the cage
2999	Function-10
3002	Tournament
3003	Suitable pairs
3004	Queue
3010	Noisy neighbors
3011	No left turns
3012	Cards
3013	Magic Parenthesis
3014	Maze
3015	Camouflaged camp
3016	Ancient Manuscript
3017	Bus Trip
3018	Polygon
3019	Typesetting
3020	The Seven Percent Solution
3021	Slink
3022	Persistent Bits
3023	Here We Go(relians) Again
3024	Electronic Document Security
3025	Guard
3026	Rock Skipping
3030	Micro and Tree
3043	Class Statistics
3044	Avoiding a disaster
3045	Roll Call
3046	Difficult Routes
3047	Real Phobia
3048	Insidious Branding
3049	Help-or-else
3050	Pahom on Water
3051	Detour Buster
3052	Oil Skimming
3053	Numbers Game
3058	Bishops
3059	Minimizing maximizer
3060	Atlantis
3061	Inner Vertices
3063	Camelot
3064	Alphabet Soup
3065	Coin Collecting
3066	Cybercrime Donut Investigation
3067	Distributing Ballot Boxes
3068	Game, Set and Match
3069	Guess the Numbers
3070	Non-negative Partial Sums
3071	Peer Review
3072	Regular Convex Polygon
3073	Remoteland
3074	Graph Theory
3075	Minimal Matrix
3076	Nothing On TV
3077	Avoiding Partitions
3078	Points and Lines
3079	Reversing Prefixes
3080	Inverse Range Minimum Query
3081	Road Signs
3082	Triangular Tiling
3083	Wikipidia
3084	XOR
3085	Zombie`s Treasure Chest
3086	Yummy Triangular Pizza
3087	Xavier is Learning to Count
3088	Winmine.exe
3089	Very Boring Homework
3090	Universal Question Answering System
3091	Triangles and Quadrangle
3092	Share the Cakes
3093	Revenge of Fibonacci
3094	Quelling Blade
3095	Water Gate Management
3096	Binary Search Tree
3097	Fun Coloring
3098	Twin Apparent Primes!!
3099	Queen Game
3100	Spelling Suggestion
3101	Coalescing Continents
3102	Fence Making
3103	Paths in a Tree
3104	Consecutive Sums
3105	Grade School Multiplication
3106	Laser Tag
3107	Pizza Pricing
3108	Su-domino-ku
3109	Refrigerator Magnets
3110	Shut the Box
3111	Sokoban
3112	Crash and Go(relians)
3113	Stifling the Mutiny
3114	RNG in Reverse
3115	Attack of the Giant n-pus
3116	Polly Wants a Cracker
3117	Rolling Dice
3119	Secret Island Base
3120	Stealth Ninja
3121	In and Out
3122	Shuriken Game
3123	Popping Balloons
3124	Quick out of the Harbour
3125	Find the Treasure
3126	Bad Wiring
3127	Peaceful Comission
3128	Ultimate Finishing Strike
3129	Doubloon Game
3130	Walking the Plank
3131	Parking Ships
3132	Treasure Map
3133	Range
3134	Coverage
3135	XML
3136	Clickomania
3137	Balance
3138	Resistors
3139	Shuffling
3140	Papa
3141	Wax
3162	Graph
3163	Graph Coloring
3165	Bicoloring
3166	Asteroids collision
3167	Most distant points pair
3168	Minimum area bounding box
3169	Burn after reading
3170	Clear after burning
3172	Tower Game Easy
3173	Tower Game (Hard)
3174	North East King
3175	Upper Right King (Hard)
3178	Prisoner of Benda
3179	Four Chips (Easy)
3180	Four Chips (Hard)
3181	Regular expressions (Easy)
3182	Regular expressions (Hard)
3183	Join
3184	Boards (Easy)
3185	Boards (Hard)
3186	Invisible point
3187	Calculator
3188	Miles and kilometers
3189	The Triangle
3191	The Primes
3196	Make a Sequence
3197	Leaky Cryptography
3199	Confusing Login Names
3200	Dice Puzzle
3201	Color the Map
3202	Inherit the Spheres
3203	Crossing Prisms
3204	Array games
3205	Birthday
3206	The Safest Path
3207	Double Necklace
3208	Rabbit Olympics
3209	Palindrome
3210	Hyper Harmonic number
3211	Holidays
3212	Instant messaging system
3213	Dolphins
3214	Trains and rabbits
3215	Rabbit`s planet
3216	Stringorial
3217	New Year
3218	Rectangles
3219	Stockbroker Grapevine
3220	Frame Stacking
3221	Channel Allocation
3222	Alien Security
3223	Octal Fractions
3224	Cracking the Code
3225	Euro Efficiency
3226	Markov Trains
3227	Hansel and Grethel
3228	Floors
3230	Pearls
3231	Huffman Trees
3232	Input
3233	k-perfect numbers
3234	Quadratic equation 1
3235	Interesting number
3236	Travel
3237	The algorithm of Petya
3238	Children`s shop
3239	Mertens function
3240	Funny game
3241	The inverse problem
3242	The equation of LCM
3243	GCD-determinant
3244	Some of the roots
3245	Quadratic equation 2
3246	The sum of digits
3247	Fermat
3248	Bicolored Horses
3249	Ship Routes
3250	Bridging signals
3251	Testing the CATCHER
3252	Range Sum Query
3253	Subsequence
3254	01110001, That Is the Question
3255	Arithmetic
3256	AFA Function
3257	Save Walle
3258	Fibonacci Sequence
3259	Factors
3260	How Many?
3261	Prime Factors
3262	Trolling
3263	How to Glue a Number?
3284	Carpenters` Language
3285	Kth Sentence
3286	Light Road
3288	Multi Ending Story
3289	Network Reliability
3290	Runaway Domino
3291	Sunny Graph
3293	World Trip
3294	Who has won?
3295	The most valuable figure
3296	Chess from "Harry Potter"
3297	The task of the employer
3298	LCA
3299	LCA - 2
3300	LCA - 3
3302	Billboard
3303	Brave Balloonists
3304	Era Name
3305	Step Step Evolution
3306	Dungeon Quest II
3307	Dice Room
3308	Alice and Bomb
3309	Two-Wheel Buggy
3310	Camera Control
3312	Operator
3313	Merry Christmas
3317	Dragon`s Question
3318	Enigmatic Device
3319	Four Points
3323	Jealous Numbers
3325	Worst Locations
3326	Counting BST
3327	Playing With Stones
3328	Arm Wrestling Tournament
3329	Lightning Energy Report
3330	Transitive Closure
3331	Just Sum It
3332	Serial Numbers
3333	Romantic Date
3334	Fire Drill
3335	Sunday Drive
3336	Hexagram
3337	Flooring Tiles
3338	Vive la Difference!
3339	Robot Navigation
3340	Folding Game
3341	Burnout
3342	Family Fortune
3343	Moving Points
3344	Vampire Numbers
3345	Period
3346	Corporative Network
3347	Cave Exploration
3348	City Game
3349	Cube Root
3350	Cable TV Network
3351	Alibaba
3352	Booklets
3353	Count on Canton
3357	Excellent!
3358	Black box
3359	Cubes
3360	Running-track
3361	Game
3362	Coloring
3363	Beautiful name
3364	Always Follow the Rules in Zombieland
3365	Zombie Containment
3366	Mesmerization of The Count
3367	Zombie Swallows
3368	Decomposing Fibonacci Numbers
3369	Pride and Prejudice and Zombies
3370	Tales from DeCrypt
3371	A Smart Brain is a Tasty Brain
3372	Containing Zombies and Respecting Building Codes
3373	Save the Python Programmers!
3374	Zombie Blast!
3375	Another Rock-Paper-Scissors Problem
3376	Ball Painting
3377	City Driving
3378	Drunken Walk
3379	Empty Triangles
3380	Fighting for Triangles
3381	Guessing Game
3382	Hidden Code
3383	Identity Checker
3384	Dispatching
3385	Guard
3386	Kunai
3387	Asteroid Rangers
3388	Curvy Little Bottles
3389	Bus Tour
3390	Fibonacci Words
3391	Infiltration
3392	Keys
3393	Minimum Cost Flow
3394	Room Service
3395	A Safe Bet
3396	Shortest Flight Path
3397	Stacking Plates
3398	Takeover Wars
3399	Bicube
3400	Bubble Puzzle
3401	Fair Game
3402	King Slime
3403	Rabbit Game Playing
3404	Rabbit Jumping
3405	Shelter
3406	Sightseeing Tour
3407	Tampopo Machine
3408	Top of the Hill
3409	Tin Man and the Gummi Bears
3410	Maximum Clique
3411	Maximal Clique
3412	Fat Hobbits
3413	Revenge of Voronoi
3415	Dinner
3416	Finding cliques
3417	Good Graphs
3418	Clique
3419	Optimization of Combinatorial Circuits
3420	Divisor Function
3421	Magical Dungeon
3422	Land Mark
3423	Networking Company
3424	Alien Pianist
3425	Japanese Style Pub
3426	Two Rings
3427	Text Justi?cation
3428	Billion Million Thousand
3429	Gift from the Goddess of Programming
3431	Weaker than Planned
3432	Long Distance Taxi
3433	Driving an Icosahedral Rover
3434	City Merger
3435	Captain Q`s Treasure
3436	ASCII Expression
3437	Encircling Circles
3438	Round Trip
3439	Yet Another Rooks Problem
3441	Ostap`s Chess
3442	Archer`s Travel
3443	Chess Tableaux
3446	Peaceful Rooks
3447	Crazy King
3449	Drunk King
3452	Hungry Queen
3454	A Knight`s Journey
3455	Chessboard in FEN
3456	Queens, Knights and Pawns
3457	Hungry Queen 2
3458	King
3459	Membership Management
3460	Balloon Collecting
3461	Towns along a Highway
3462	Awkward Lights
3463	The Two Men of the Japanese Alps
3464	Find the Multiples
3465	Test Case Tweaking
3466	Where`s Wally
3467	Intersection of Two Prisms
3468	Matrix Calculator
3469	Gridland
3470	Byteland Tour
3472	Unidirectional TSP
3473	The Cyber Traveling  Salesman
3475	Tour
3476	Collecting Beepers
3477	Traveling Shoemaker Problem
3478	Traveling Salesman
3485	GCD Guessing Game
3492	Red/Blue Spanning Tree
3493	Tantrix
3494	Inspector is Coming
3495	Party Schedule
3496	Subset Sums
3498	Sum of Different Primes
3499	Summing Subsets
3500	Prison rearrangement
3502	Square
3504	Ticket to Ride
3505	Root NIM
3506	Hexagonal Parcels
3507	Fabrozavrs-designers
3521	Sudoku
3522	Sudoku
3525	Sudoku
3526	Anniversary Party
3527	DNA Subsequences
3530	It`s Ir-Resist-Able
3531	Happy day?
3532	Interesting polygon
3535	Vasya and matrix
3539	Enemy Towers
3541	Alien`s Counting
3542	Kaeru Jump
3543	Save your cats
3544	Dungeon Wall
3545	Psychic Accelerator
3546	Bouldering
3547	DON`T PANIC!
3548	Ropeway
3549	How to Create a Good Game
3550	Cruel Bingo
3551	Repeating Characters
3552	The Rascal Triangle
3553	Programming the EDSAC
3554	Decoding EDSAC Data
3555	Route Redundancy
3556	QR
3557	Rancher`s Gift
3558	Maximum in the Cycle of 1
3559	The Golden Ceiling
3560	Asynchronous Exceptions
3561	AYBABTU
3562	Billiards Sorting
3563	Digit
3564	Dungeon Creation
3565	Longest Lane
3566	Play in Basic
3567	Skyland
3568	Three-way Branch
3569	Tree Allocation
3570	Good or Bad?
3571	Bracelets
3572	A Classic Myth: Flatland Superhero
3573	Collateral Cleanup
3574	LatticeLand
3575	Lightning Lessons
3576	Locksmith
3577	Speed Racer
3578	The Status is Not Quo
3579	Stupendous Man
3580	Tree Count
3581	A Famous Music Composer
3582	A Famous Airport Manager
3583	A Famous ICPC Team
3584	A Famous Stone Collector
3585	A Famous Equation
3586	A Famous King`s Trip
3587	The Famous ICPC Team Again
3588	A Famous City
3589	Two Famous Companies
3591	A Famous Grid
3592	The Famous Clock
3593	Infinity Maze
3594	Butterfly
3595	Chinese Classics
3596	Revenge of Champernowne Constant
3597	Full Text Search
3598	Mysterious Maze
3599	Number Sorting
3600	Sky Jump
3601	Mobile Network
3602	Blue Forest
3607	Sort by growth
3613	Olympic luggage
3618	Hit and Blow
3619	Turn Left
3620	!
3621	Speed
3622	Spirograph
3624	Repeated Subsequences
3625	Petoris
3626	Pythagoraslope
3628	Brackets Sequence
3641	Maximum Flow B
3642	Edges removal 
3648	Sequence
3650	How many different?
3661	Railway Tickets
3682	Fire in the Country
3702	Divisors of the number
3708	Droid flies
3728	Cut a graph
3733	Least Common Multiple
3736	Golden sand
3737	Is it a Heap?
3741	Subarray with maximum XOR.
3742	n^n mod 10^p
3744	Factorial Again!
3745	Ants Colony
3746	Bingo!
3747	Cocircular Points
3748	Digits Count
3749	Electric Needs
3751	Growing Strings
3752	Hyperactive Girl
3753	Ingenious Metro
3755	Kids` Wishes
3756	Kinds of figures
3757	John, Bruce and beer
3758	Chain
3759	Cube
3760	Queue
3761	Magic Labyrinth
3762	Poodle and Bolonka
3763	Very hard task
3764	Remainders sum
3765	Inside Circle
3766	Millennium
3767	Recurring Decimals
3768	Biased Dice
3769	Railway Connection
3770	Chain-Confined Path
3771	Generic Poker
3772	Patisserie ACM
3773	Battleship
3774	BrainFuckVM
3775	Candy Distribution
3776	Outsourcing
3777	Pizza Hawaii
3778	Roller coaster fun
3779	Ski Jumping
3780	Suffix Array Re-construction
3781	Touchscreen Keyboard
3782	Track Smoothing
3783	Treasure Diving
3784	1 VS 1
3785	Count the Number of Cycles
3786	Changlong`s bother
3787	Knight Match Play
3788	Province Region Competition Team Play
3789	Fly or not fly
3790	Monitoring System
3791	HaHa`s Morning
3792	Planting Tree
3793	Job!Job!Job!
3794	Pocky
3823	Maximum Power
3824	3D Blobs
3825	Integral of All Horrors
3826	Drift Puzzle
3827	Optical Optimization
3829	Prettify Text Blocks
3830	Area of Regular Polygons
3831	Mink Carpet
3832	Rotate Text Blocks
3834	Black and white painting
3835	Minimal Spanning Tree
3836	Deli Deli
3837	Expressions
3838	Frequent values
3839	Grocery store
3840	Halloween treats
3841	Dr Who`s Banquet
3842	Bitris
3843	Primes
3844	Longest Prefix Match
3846	Maximal Number of Divisors
3847	Miraculous Drug
3848	Softville
3849	Tree
3850	VAN DINSKY
3856	Angry Teacher
